name,city,canton,language,big_museum,single_exh_f,single_exh_m,group_exh_f,group_exh_m,visitors_lastyear,female_artists_all,male_artists_all,single_exhibitions_all,group_exhibitions_all,per_single_exh_f,per_single_exh_m,per_group_exh_f,per_group_exh_m
Cartoonmuseum Basel,Basel,BS,D,NA,8,19,43,65,NA,51,84,27,108,0.2962962962962963,0.7037037037037037,0.39814814814814814,0.6018518518518519
MAMCO_Musée d'art moderne et contemporain,Genève,GE,F,NA,22,46,NA,NA,NA,NA,NA,68,NA,0.3235294117647059,0.6764705882352942,NA,NA
Kunsthaus Glarus,GL,GL,D,NA,20,26,NA,NA,NA,NA,NA,46,NA,0.43478260869565216,0.5652173913043478,NA,NA
Museum Nairs,Scuol,GR,D,NA,6,5,171,127,NA,177,132,11,298,0.5454545454545454,0.45454545454545453,0.5738255033557047,0.4261744966442953
Kunst(Zeug)Haus,Rapperswil SG,SG,D,NA,20,45,81,152,NA,101,197,65,233,0.3076923076923077,0.6923076923076923,0.34763948497854075,0.6523605150214592
Alte Fabrik,Rapperswil SG,SG,D,NA,1,3,67,90,NA,68,93,4,157,0.25,0.75,0.4267515923566879,0.5732484076433121
Kunst Halle St Gallen,St. Gallen,SG,D,NA,15,33,62,119,NA,77,152,48,181,0.3125,0.6875,0.3425414364640884,0.6574585635359116
Kunstmuseum Olten,Olten,SO,D,NA,15,45,393,1113,NA,408,1158,60,1506,0.25,0.75,0.26095617529880477,0.7390438247011952
Kunsthaus Grenchen,Grenchen,SO,D,NA,18,17,261,408,NA,279,425,35,669,0.5142857142857142,0.4857142857142857,0.3901345291479821,0.6098654708520179
Kunsthalle Arbon,Arbon,TG,D,NA,24,35,40,71,NA,64,106,59,111,0.4067796610169492,0.5932203389830508,0.36036036036036034,0.6396396396396397
Museum Kunst + Wissen,Diessenhofen,TG,D,NA,4,8,28,22,NA,32,30,12,50,0.3333333333333333,0.6666666666666666,0.56,0.44
m.a.x. museo,Chiasso,TI,I,NA,4,23,NA,NA,NA,NA,NA,27,NA,0.14814814814814814,0.8518518518518519,NA,NA
Matasci Arte,Tenero,TI,I,NA,1,18,NA,NA,NA,NA,NA,19,NA,0.05263157894736842,0.9473684210526315,NA,NA
Museo plebano,Agno,TI,I,NA,3,5,NA,NA,NA,NA,NA,8,NA,0.375,0.625,NA,NA
Museo d'arte,Mendrisio,TI,I,NA,2,12,74,460,NA,76,472,14,534,0.14285714285714285,0.8571428571428571,0.13857677902621723,0.8614232209737828
Museo Comunale d'Arte Moderna Ascona,Ascona,TI,I,NA,11,11,58,216,NA,69,227,22,274,0.5,0.5,0.2116788321167883,0.7883211678832117
Fondazione Gabriele e Anna Braglia Spazio espositivo,Lugano,TI,I,NA,0,1,8,69,NA,8,70,1,77,0,1,0.1038961038961039,0.8961038961038961
Complesso museale del Monte Verità,Ascona,TI,I,NA,1,5,6,3,NA,7,8,6,9,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.3333333333333333
Museo Castello San Materno,Ascona,TI,I,NA,2,2,4,26,NA,6,28,4,30,0.5,0.5,0.13333333333333333,0.8666666666666667
Museo Elisarion,Minusio,TI,I,NA,4,13,3,3,NA,7,16,17,6,0.23529411764705882,0.7647058823529411,0.5,0.5
Museo Villa Pia,Porza,TI,I,NA,4,18,0,4,NA,4,22,22,4,0.18181818181818182,0.8181818181818182,0,1
Museum Haus Konstruktiv,Zürich,ZH,D,NA,18,34,NA,NA,NA,NA,NA,52,NA,0.34615384615384615,0.6538461538461539,NA,NA
Johann Jacobs Museum,Zürich,ZH,D,NA,13,16,NA,NA,NA,NA,NA,29,NA,0.4482758620689655,0.5517241379310345,NA,NA
